supplier_id,month,scope3_emissions_tons,energy_consumption_mwh,transport_km,waste_tons
SUP-001,2024-01,389,218,62340,19.4
SUP-001,2024-02,375,210,58710,18.1
SUP-001,2024-03,382,215,64520,19.8
SUP-001,2024-04,370,207,60180,17.9
SUP-001,2024-05,365,202,59430,17.2
SUP-001,2024-06,358,198,57890,16.8
SUP-001,2024-07,362,201,61200,17.5
SUP-001,2024-08,368,205,63450,18.0
SUP-001,2024-09,374,212,65100,18.6
SUP-001,2024-10,405,238,74200,22.1
SUP-001,2024-11,412,242,76530,23.4
SUP-001,2024-12,418,248,78900,24.2
SUP-001,2025-01,380,213,61200,18.7
SUP-001,2025-02,368,206,57400,17.5
SUP-001,2025-03,372,209,62100,18.2
SUP-001,2025-04,360,200,58700,16.9
SUP-001,2025-05,354,196,56800,16.3
SUP-001,2025-06,348,192,55400,15.8
SUP-001,2025-07,352,195,58900,16.4
SUP-001,2025-08,358,199,61300,17.0
SUP-001,2025-09,364,206,63200,17.8
SUP-001,2025-10,395,232,72100,21.3
SUP-001,2025-11,402,237,74800,22.5
SUP-001,2025-12,408,243,76400,23.1
SUP-002,2024-01,188,148,41200,13.2
SUP-002,2024-02,185,145,40100,12.8
SUP-002,2024-03,179,140,38900,12.1
SUP-002,2024-04,172,134,37200,11.4
SUP-002,2024-05,164,126,34800,10.2
SUP-002,2024-06,155,118,32100,9.1
SUP-002,2024-07,152,114,31200,8.7
SUP-002,2024-08,158,121,33400,9.5
SUP-002,2024-09,168,130,36100,10.8
SUP-002,2024-10,178,139,38400,11.9
SUP-002,2024-11,186,146,40600,12.7
SUP-002,2024-12,192,151,42300,13.8
SUP-002,2025-01,182,143,39800,12.5
SUP-002,2025-02,178,139,38500,12.0
SUP-002,2025-03,172,135,37100,11.3
SUP-002,2025-04,165,128,35600,10.5
SUP-002,2025-05,157,120,33200,9.4
SUP-002,2025-06,150,113,30800,8.5
SUP-002,2025-07,148,110,30100,8.2
SUP-002,2025-08,153,116,32000,8.9
SUP-002,2025-09,162,125,34700,10.1
SUP-002,2025-10,171,133,37000,11.2
SUP-002,2025-11,179,140,39200,12.0
SUP-002,2025-12,185,146,40900,13.0
SUP-003,2024-01,648,438,102400,36.2
SUP-003,2024-02,635,425,98700,34.8
SUP-003,2024-03,662,452,106300,38.1
SUP-003,2024-04,641,430,100800,35.5
SUP-003,2024-05,670,460,109200,39.4
SUP-003,2024-06,655,445,104600,37.2
SUP-003,2024-07,678,468,112500,40.8
SUP-003,2024-08,664,451,107800,38.6
SUP-003,2024-09,643,432,101900,35.9
SUP-003,2024-10,658,448,105700,37.8
SUP-003,2024-11,672,462,110400,39.9
SUP-003,2024-12,688,475,115200,42.1
SUP-003,2025-01,640,430,100200,35.4
SUP-003,2025-02,628,420,97100,33.9
SUP-003,2025-03,651,442,104500,37.0
SUP-003,2025-04,634,426,99300,34.6
SUP-003,2025-05,660,455,107600,38.2
SUP-003,2025-06,645,440,103100,36.4
SUP-003,2025-07,668,461,110800,39.7
SUP-003,2025-08,653,446,106200,37.5
SUP-003,2025-09,632,424,100100,34.8
SUP-003,2025-10,647,441,104000,36.9
SUP-003,2025-11,661,456,108700,38.8
SUP-003,2025-12,676,469,113400,41.2
SUP-004,2024-01,1025,768,172400,62.3
SUP-004,2024-02,1008,752,168300,60.1
SUP-004,2024-03,1042,781,176800,64.7
SUP-004,2024-04,1018,758,170200,61.5
SUP-004,2024-05,1055,792,180400,66.2
SUP-004,2024-06,1035,775,174900,63.8
SUP-004,2024-07,1068,804,184600,68.4
SUP-004,2024-08,1048,788,178500,65.9
SUP-004,2024-09,1030,770,173100,63.0
SUP-004,2024-10,1062,798,182300,67.5
SUP-004,2024-11,1078,812,187900,69.8
SUP-004,2024-12,1092,828,192400,72.3
SUP-004,2025-01,1020,762,170800,61.8
SUP-004,2025-02,1002,748,166500,59.4
SUP-004,2025-03,1038,776,175200,63.9
SUP-004,2025-04,1012,754,169000,60.8
SUP-004,2025-05,1050,788,178900,65.5
SUP-004,2025-06,1028,770,173600,63.1
SUP-004,2025-07,1062,800,183200,67.6
SUP-004,2025-08,1042,784,177100,65.2
SUP-004,2025-09,1024,766,171800,62.3
SUP-004,2025-10,1056,794,181000,66.8
SUP-004,2025-11,1072,808,186400,69.1
SUP-004,2025-12,1085,822,190800,71.5
SUP-005,2024-01,1612,1198,224500,95.4
SUP-005,2024-02,1588,1172,218300,91.8
SUP-005,2024-03,1635,1218,230200,98.7
SUP-005,2024-04,1604,1190,222800,94.1
SUP-005,2024-05,1658,1242,236400,102.3
SUP-005,2024-06,1640,1225,232100,99.8
SUP-005,2024-07,1672,1258,240800,105.6
SUP-005,2024-08,1654,1238,235600,101.9
SUP-005,2024-09,1628,1210,228900,97.2
SUP-005,2024-10,1662,1248,238200,104.1
SUP-005,2024-11,1685,1268,243700,107.8
SUP-005,2024-12,1698,1282,248100,109.5
SUP-005,2025-01,1602,1188,222100,94.2
SUP-005,2025-02,1578,1164,216800,90.5
SUP-005,2025-03,1625,1210,228600,97.4
SUP-005,2025-04,1594,1182,221200,92.8
SUP-005,2025-05,1648,1234,234800,101.0
SUP-005,2025-06,1630,1218,230500,98.5
SUP-005,2025-07,1664,1250,239200,104.3
SUP-005,2025-08,1644,1230,234000,100.6
SUP-005,2025-09,1618,1202,227300,96.0
SUP-005,2025-10,1652,1240,236600,102.8
SUP-005,2025-11,1675,1260,242100,106.4
SUP-005,2025-12,1690,1274,246500,108.2
SUP-006,2024-01,168,112,36200,10.4
SUP-006,2024-02,162,106,34500,9.8
SUP-006,2024-03,165,109,35600,10.1
SUP-006,2024-04,160,104,33800,9.5
SUP-006,2024-05,156,100,32400,8.9
SUP-006,2024-06,152,96,31100,8.4
SUP-006,2024-07,155,99,32000,8.7
SUP-006,2024-08,158,102,33200,9.2
SUP-006,2024-09,162,107,34800,9.7
SUP-006,2024-10,166,111,35900,10.2
SUP-006,2024-11,170,115,37400,10.8
SUP-006,2024-12,173,118,38600,11.3
SUP-006,2025-01,158,104,34100,9.4
SUP-006,2025-02,153,99,32600,8.8
SUP-006,2025-03,155,101,33300,9.0
SUP-006,2025-04,150,97,31800,8.3
SUP-006,2025-05,146,93,30400,7.8
SUP-006,2025-06,142,89,29100,7.2
SUP-006,2025-07,145,92,29800,7.5
SUP-006,2025-08,148,95,30900,8.0
SUP-006,2025-09,152,99,32200,8.5
SUP-006,2025-10,156,103,33600,9.0
SUP-006,2025-11,160,107,35100,9.6
SUP-006,2025-12,163,110,36300,10.1
SUP-007,2024-01,458,312,78400,29.2
SUP-007,2024-02,445,302,75600,27.8
SUP-007,2024-03,452,308,77200,28.6
SUP-007,2024-04,462,316,79800,30.1
SUP-007,2024-05,470,324,82400,31.5
SUP-007,2024-06,478,332,85100,33.0
SUP-007,2024-07,502,358,92600,36.8
SUP-007,2024-08,515,372,96400,38.9
SUP-007,2024-09,508,365,94200,37.6
SUP-007,2024-10,475,328,83800,32.2
SUP-007,2024-11,460,314,79400,29.8
SUP-007,2024-12,448,304,76800,28.2
SUP-007,2025-01,450,306,76500,28.4
SUP-007,2025-02,438,296,73800,27.0
SUP-007,2025-03,444,301,75400,27.8
SUP-007,2025-04,454,310,78000,29.3
SUP-007,2025-05,462,318,80600,30.7
SUP-007,2025-06,470,326,83300,32.2
SUP-007,2025-07,495,352,91000,35.9
SUP-007,2025-08,508,366,94800,38.1
SUP-007,2025-09,500,358,92400,36.8
SUP-007,2025-10,468,322,82100,31.4
SUP-007,2025-11,452,308,77600,29.0
SUP-007,2025-12,440,298,75000,27.5
SUP-008,2024-01,768,548,122400,41.2
SUP-008,2024-02,752,532,118600,39.8
SUP-008,2024-03,775,558,125800,42.5
SUP-008,2024-04,760,540,121200,40.6
SUP-008,2024-05,782,564,128400,43.8
SUP-008,2024-06,770,552,125100,42.1
SUP-008,2024-07,795,578,132600,45.4
SUP-008,2024-08,785,568,129800,44.2
SUP-008,2024-09,765,544,123500,41.5
SUP-008,2024-10,778,560,127200,43.2
SUP-008,2024-11,792,574,131400,44.9
SUP-008,2024-12,808,590,135800,47.1
SUP-008,2025-01,758,538,120800,40.4
SUP-008,2025-02,742,522,117200,38.9
SUP-008,2025-03,764,548,124300,41.6
SUP-008,2025-04,750,530,119600,39.7
SUP-008,2025-05,772,554,126800,42.8
SUP-008,2025-06,760,542,123500,41.2
SUP-008,2025-07,784,568,131000,44.5
SUP-008,2025-08,774,558,128200,43.3
SUP-008,2025-09,754,534,122000,40.6
SUP-008,2025-10,768,550,125600,42.3
SUP-008,2025-11,782,564,129800,44.0
SUP-008,2025-12,798,580,134200,46.2
SUP-009,2024-01,272,198,52400,17.2
